image_stamp,aruco_found,aruco_rx_now,aruco_proc_start,aruco_proc_end,aruco_pub_now,aruco_rx_wait_dt,aruco_queue_before_proc_dt,aruco_processing_dt,aruco_send_dt,aruco_total_node_dt,kalman_rx_now,kalman_proc_start,kalman_proc_end,kalman_pub_now,kalman_processing_dt,kalman_send_dt,kalman_measurement_dt,kalman_predict_dt,pl_pose_stamp,pl_vel_stamp,pl_pose_rx_now,pl_vel_rx_now,pl_ctrl_start_now,pl_ctrl_end_now,pl_cmd_pub_now,pl_pose_wait_dt,pl_vel_wait_dt,pl_control_processing_dt,pl_send_cmd_dt,dt_aruco_to_kalman,dt_kalman_to_pl_pose,dt_kalman_to_pl_vel,dt_total_image_to_cmd
29.668000,1,29.728000,29.728000,29.736000,29.736000,0.060000,0.000000,0.008000,0.000000,0.068000,29.736000,29.736000,29.736000,29.736000,0.000000,0.000000,0.064000,0.068000,29.668000,29.668000,29.668000,29.668000,29.736000,29.736000,29.736000,0.068000,0.068000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068000
31.220000,1,31.276000,31.276000,31.288000,31.288000,0.056000,0.000000,0.012000,0.000000,0.068000,31.288000,31.288000,31.288000,31.288000,0.000000,0.000000,0.064000,0.068000,31.220000,31.220000,31.220000,31.220000,31.288000,31.288000,31.288000,0.068000,0.068000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068000
34.224000,1,34.280000,34.280000,34.288000,34.288000,0.056000,0.000000,0.008000,0.000000,0.064000,34.288000,34.288000,34.288000,34.288000,0.000000,0.000000,0.068000,0.064000,34.224000,34.224000,34.224000,34.224000,34.288000,34.288000,34.288000,0.064000,0.064000,0.000000,0.000000,0.000000,0.000000,0.000000,0.064000
34.288000,1,34.356000,34.356000,34.356000,34.356000,0.068000,0.000000,0.000000,0.000000,0.068000,34.356000,34.356000,34.356000,34.356000,0.000000,0.000000,0.032000,0.032000,34.288000,34.288000,34.288000,34.288000,34.320000,34.320000,34.320000,0.032000,0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032000
35.476000,1,35.536000,35.536000,35.544000,35.544000,0.060000,0.000000,0.008000,0.000000,0.068000,35.544000,35.544000,35.544000,35.544000,0.000000,0.000000,0.064000,0.068000,35.476000,35.476000,35.476000,35.476000,35.536000,35.536000,35.536000,0.060000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000
36.204000,1,36.264000,36.264000,36.272000,36.272000,0.060000,0.000000,0.008000,0.000000,0.068000,36.272000,36.272000,36.272000,36.272000,0.000000,0.000000,0.068000,0.068000,36.204000,36.204000,36.204000,36.204000,36.260000,36.260000,36.260000,0.056000,0.056000,0.000000,0.000000,0.000000,0.000000,0.000000,0.056000
37.028000,1,37.092000,37.092000,37.096000,37.096000,0.064000,0.000000,0.004000,0.000000,0.068000,37.096000,37.096000,37.096000,37.096000,0.000000,0.000000,0.064000,0.068000,37.028000,37.028000,37.028000,37.028000,37.096000,37.096000,37.096000,0.068000,0.068000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068000
37.096000,1,37.148000,37.148000,37.152000,37.152000,0.052000,0.000000,0.004000,0.000000,0.056000,37.160000,37.160000,37.160000,37.160000,0.000000,0.000000,0.036000,0.032000,37.096000,37.096000,37.096000,37.096000,37.120000,37.120000,37.120000,0.024000,0.024000,0.000000,0.000000,0.008000,0.000000,0.000000,0.024000
37.292000,1,37.348000,37.348000,37.356000,37.356000,0.056000,0.000000,0.008000,0.000000,0.064000,37.360000,37.360000,37.360000,37.360000,0.000000,0.000000,0.064000,0.068000,37.292000,37.292000,37.292000,37.292000,37.356000,37.356000,37.356000,0.064000,0.064000,0.000000,0.000000,0.004000,0.000000,0.000000,0.064000
38.152000,1,38.208000,38.208000,38.216000,38.216000,0.056000,0.000000,0.008000,0.000000,0.064000,38.216000,38.216000,38.216000,38.216000,0.000000,0.000000,0.068000,0.064000,38.152000,38.152000,38.152000,38.152000,38.212000,38.212000,38.212000,0.060000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000
38.348000,1,38.400000,38.400000,38.416000,38.416000,0.052000,0.000000,0.016000,0.000000,0.068000,38.416000,38.416000,38.416000,38.416000,0.000000,0.000000,0.032000,0.036000,38.348000,38.348000,38.348000,38.348000,38.372000,38.372000,38.372000,0.024000,0.024000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024000
38.380000,1,38.440000,38.440000,38.448000,38.448000,0.060000,0.000000,0.008000,0.000000,0.068000,38.448000,38.448000,38.448000,38.448000,0.000000,0.000000,0.032000,0.032000,38.380000,38.380000,38.380000,38.380000,38.412000,38.412000,38.412000,0.032000,0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032000
38.580000,1,38.636000,38.636000,38.644000,38.644000,0.056000,0.000000,0.008000,0.000000,0.064000,38.644000,38.644000,38.644000,38.644000,0.000000,0.000000,0.068000,0.064000,38.580000,38.580000,38.580000,38.580000,38.644000,38.644000,38.644000,0.064000,0.064000,0.000000,0.000000,0.000000,0.000000,0.000000,0.064000
38.644000,1,38.704000,38.704000,38.712000,38.712000,0.060000,0.000000,0.008000,0.000000,0.068000,38.712000,38.712000,38.712000,38.712000,0.000000,0.000000,0.064000,0.068000,38.644000,38.644000,38.644000,38.644000,38.712000,38.712000,38.712000,0.068000,0.068000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068000
38.712000,1,38.772000,38.772000,38.776000,38.776000,0.060000,0.000000,0.004000,0.000000,0.064000,38.776000,38.776000,38.776000,38.776000,0.000000,0.000000,0.032000,0.032000,38.712000,38.712000,38.712000,38.712000,38.728000,38.728000,38.728000,0.016000,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016000
39.040000,1,39.100000,39.100000,39.108000,39.108000,0.060000,0.000000,0.008000,0.000000,0.068000,39.108000,39.108000,39.108000,39.108000,0.000000,0.000000,0.032000,0.032000,39.040000,39.040000,39.040000,39.040000,39.072000,39.072000,39.076000,0.032000,0.032000,0.000000,0.004000,0.000000,0.000000,0.000000,0.036000
39.240000,1,39.296000,39.296000,39.304000,39.304000,0.056000,0.000000,0.008000,0.000000,0.064000,39.304000,39.304000,39.304000,39.304000,0.000000,0.000000,0.068000,0.064000,39.240000,39.240000,39.240000,39.240000,39.296000,39.296000,39.296000,0.056000,0.056000,0.000000,0.000000,0.000000,0.000000,0.000000,0.056000
39.304000,1,39.368000,39.368000,39.372000,39.372000,0.064000,0.000000,0.004000,0.000000,0.068000,39.372000,39.372000,39.372000,39.372000,0.000000,0.000000,0.064000,0.068000,39.304000,39.304000,39.304000,39.304000,39.372000,39.372000,39.372000,0.068000,0.068000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068000
39.372000,1,39.424000,39.424000,39.436000,39.436000,0.052000,0.000000,0.012000,0.000000,0.064000,39.436000,39.436000,39.436000,39.436000,0.000000,0.000000,0.068000,0.064000,39.372000,39.372000,39.372000,39.372000,39.424000,39.424000,39.424000,0.052000,0.052000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052000
39.536000,1,39.592000,39.592000,39.600000,39.600000,0.056000,0.000000,0.008000,0.000000,0.064000,39.600000,39.600000,39.600000,39.600000,0.000000,0.000000,0.064000,0.064000,39.536000,39.536000,39.536000,39.536000,39.592000,39.592000,39.592000,0.056000,0.056000,0.000000,0.000000,0.000000,0.000000,0.000000,0.056000
39.768000,1,39.832000,39.832000,39.832000,39.832000,0.064000,0.000000,0.000000,0.000000,0.064000,39.832000,39.832000,39.832000,39.832000,0.000000,0.000000,0.032000,0.032000,39.768000,39.768000,39.768000,39.768000,39.800000,39.800000,39.800000,0.032000,0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032000
39.832000,1,39.892000,39.892000,39.900000,39.900000,0.060000,0.000000,0.008000,0.000000,0.068000,39.900000,39.900000,39.900000,39.900000,0.000000,0.000000,0.064000,0.068000,39.832000,39.832000,39.832000,39.832000,39.892000,39.892000,39.892000,0.060000,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000
40.164000,1,40.220000,40.220000,40.228000,40.228000,0.056000,0.000000,0.008000,0.000000,0.064000,40.228000,40.228000,40.228000,40.228000,0.000000,0.000000,0.068000,0.064000,40.164000,40.164000,40.164000,40.164000,40.220000,40.220000,40.220000,0.056000,0.056000,0.000000,0.000000,0.000000,0.000000,0.000000,0.056000
40.792000,1,40.848000,40.848000,40.856000,40.856000,0.056000,0.000000,0.008000,0.000000,0.064000,40.856000,40.856000,40.856000,40.856000,0.000000,0.000000,0.068000,0.064000,40.792000,40.792000,40.792000,40.792000,40.856000,40.856000,40.856000,0.064000,0.064000,0.000000,0.000000,0.000000,0.000000,0.000000,0.064000
